"Primary Street","Dir","Cross Street","Type","Dist","Count Date","Day","W/B","E/B","N/B","S/B","Total"
"ABBOT KINNEY BL / BROOKS AV","AT","MAIN ST","AUTO","CR","December 06, 2012","TUE",,,"11,684","12,402","24,086"
"ABBOTT KINNEY BL","AT","MARR ST","AUTO","WR","September 04, 2013","WED","0","0","9,277","9,587","18,864"
"ABBOTT KINNEY BL","AT","COEUR D ALENE AV","AUTO","WR","September 04, 2013","WED","0","0","10,736","9,115","19,851"
"ADAMS BL","AT","HOOVER ST","AUTO","CR","June 01, 2011","WED","304","251",,,"555"
"ADAMS BL","AT","CENTRAL AV","MAN","CR","January 23, 2013","WED","0","0","1,060","0","1,060"
"ADAMS BL","AT ","SAN PEDRO ST","MAN","CR","May 16, 2011","MON",,,"1,579",,"1,579"
"ADAMS BL","AT","CIMARRON ST","AUTO","CR","October 12, 2011","WED",,,"7,695","4,759","12,454"
"ADAMS BL","AT ","VERMONT AV","AUTO","CR","October 12, 2011","WED",,,"5,593","8,798","14,391"
"ADAMS BL","AT ","MAPLE AV","AUTO","SR","December 12, 2012","WED","0","0","12,320","8,635","20,955"
"ADAMS BL","AT","BROADWAY","MAN","CR","December 12, 2012","WED",,,"11,287","16,662","27,949"
"ADAMS BL ","AT ","NORMANDIE AV","AUTO","CR","October 12, 2011","WED",,,"7,432","8,745","16,177"
"ADAMS BL ","AT","ELLENDALE PL","MAN","SR","February 12, 2014","WED","13,106","13,994","0","0","27,100"
"ADDISON ST","AT","BALBOA BL","MAN","WV","August 29, 2013","THU","235","752","0","0","987"
"ADDISON ST","AT","VAN NUYS BL","AUTO","CR","October 12, 2011","WED",,,"8,131","8,824","16,955"
"ALAMEDA AT","AT","E ST","AUTO","HW","July 18, 2011","MON",,,"2,279","3,531","5,810"
"ALAMEDA AT","AT","ANAHEIM ST","MAN","CR","December 12, 2012","WED","7,520","7,435",,,"14,955"
"ALAMEDA ST","AT","ANAHEIM ST","AUTO","SR","January 08, 2013","TUE","0","0","2,089","789","2,878"
"ALAMEDA ST","AT","SLAUSON AV","AUTO","HW","July 18, 2011","MON",,,"1,546","2,605","4,151"
"ALAMEDA ST","AT","SLAUSON AV","AUTO","HW","July 18, 2011","MON",,,"2,093","2,072","4,165"
"ALAMEDA ST","AT","LOS ANGELES ST/UNION STATION","AUTO","HW","July 18, 2011","MON",,,"2,099","2,653","4,752"
"ALAMEDA ST","AT","1st ST   ( early shift )","MAN","CR","March 27, 2014","THU","0","0","11,602","12,526","24,128"
"ALAMEDA ST","AT","101 FWY N/B ON RAMP","MAN","CR","May 21, 2014","WED","0","0","10,869","13,491","24,360"
"ALAMEDA ST","AT","TEMPLE ST","MAN","CR","February 19, 2014","WED","0","0","10,751","13,665","24,416"
"ALAMEDA ST","AT","1st ST         ( late shift )","MAN","CR","March 09, 2014","WED","0","0","11,917","15,289","27,206"
"ALAMEDA ST","AT","LOS ANGELES ST/UNION STATION","MAN","CR","December 12, 2012","TUE","0","0","11,287","16,661","27,948"
"ALAMEDA ST","AT","TEMPLE ST","MAN","CR","January 16, 2014","THU","0","0","12,664","16,847","29,511"
"ALAMEDA ST","AT","2 nd ST","AUTO","CR","March 11, 2014","TUE","0","0","15,116","15,943","31,059"
"ALAMEDA ST","AT","1 st ST","AUTO","CR","January 16, 2014","THU","0","0","15,698","15,822","31,520"
"ALAMEDA ST","S/O","TEMPLE ST","AUTO","CR","May 22, 2014","THU","0","0","15,694","17,890","33,584"
"ALAMEDA ST","AT","TEMPLE ST","AUTO","CR","January 15, 2014","WED","0","0","15,738","18,281","34,019"
"ALAMEDA ST","AT","COMMERCIAL ST / ALISO ST","AUTO","CR","March 06, 2014","THU","0","0","17,375","17,140","34,515"
"ALAMEDA ST","N/O","TEMPLE ST","AUTO","CR","May 22, 2014","THU","0","0","18,380","17,641","36,021"
"ALAMEDA ST ","AT","ARCADIA ST","AUTO","CR","March 12, 2014","WED","0","0","19,830","11,799","31,629"
"ALAMEDA ST ","AT","3 rd ST","AUTO","CR","March 05, 2014","WED","0","0","15,725","16,294","32,019"
"ALBANY ST","AT","JAMES M WOOD BL","MAN","CR","January 23, 2013","WED","0","0","1,060","0","1,060"
"ALBANY ST","AT","JAMES M WOOD BL","AUTO","SR","January 08, 2013","TUE","0","0","987","980","1,967"
"ALBANY ST","AT","JAMES M WOOD BL","AUTO","SR","January 08, 2013","TUE","0","0","1,232","1,240","2,472"
"ALEXANDRIA AV","AT","FRANKLIN AV","AUTO","CR","September 21, 2011","WED","2,617","2,684",,,"5,301"
"ALHAMBRA AV","AT","LOWELL AV","MAN","CR","December 12, 2012","WED","7,520","7,435","0","0","14,955"
"ALHAMBRA AV","AT","LOWELL AV","AUTO","CR","October 06, 2011","THU",,,"11,462","12,780","24,242"
"ALHAMBRA AV","AT","LOWELL AV","AUTO","CR","October 06, 2011","THU",,,"13,964","14,962","28,926"
"ALHAMBRA AV","AT","LOMBARDY BL","AUTO","CR","October 03, 2011","MON",,,"16,402","15,674","32,076"
"ALHAMBRA AV","W/O","WORKMAN ST","AUTO","CR","October 03, 2011","MON",,,"16,877","17,067","33,944"
"ALHAMBRA AV","AT","DRUID ST","AUTO","CR","October 03, 2011","MON",,,"17,187","19,525","36,712"
"ALHAMBRA AV","AT","WARWICK AV","AUTO","CR","October 06, 2011","THU",,,"23,688","17,860","41,548"
"ALLESANDRO ST","AT","LOMA VISTA PL","AUTO","CR","October 11, 2011","TUE",,,"8,750","11,337","20,087"
"ALLESANDRO ST","AT","FARGO ST","AUTO","CR","October 11, 2011","TUE",,,"11,385","13,397","24,782"
"ALLESANDRO ST","A","RIVERSIDE DR","AUTO","CR","October 11, 2011","TUE",,,"15,923","11,310","27,233"
"ALLESANDRO ST","AT","WALCOTT WY","AUTO","CR","October 17, 2011","MON",,,"15,441","14,790","30,231"
"ALMA ST","AT","20 th ST","AUTO","HW","February 01, 2011","TUE",,,"310","179","489"
"ALMA ST","AT","25 th ST","AUTO","EV","December 19, 2012","WED","0","0","161","1,095","1,711"
"ALMA ST ","AT","12 th ST","AUTO","SR","June 17, 2013","MON","0","0","642","970","1,612"
"ALMA ST ","AT","11 th ST","AUTO","SR","June 12, 2013","WED","0","0","835","977","1,812"
"ALMA ST ","AT","10 th ST","AUTO","SR","June 17, 2013","MON","0","0","910","1,325","2,235"
"ALMA ST ","N/O ","30 th ST","MAN","SR","January 19, 2011","WED","12,361","15,541",,,"27,902"
"ALPINE ST","AT","GRAND AV","AUTO","SR","April 19, 2011","TUE","13,084","12,767",,,"25,851"
"ALSACE AV","AT","SLAUSON AV","AUTO","SR","November 19, 2013","TUE",,,"50","101","151"
"ALVARADO ST","AT","3 rd ST","AUTO","SR","April 19, 2011","TUE","5,830","8,772",,,"14,602"
"ALVARADO ST","AT","11 th ST","AUTO","SR","April 20, 2011","WED","11,342","9,880",,,"21,222"
"ALVARADO ST","AT","JAMES M WOOD BL","AUTO","SR","April 20, 2011","WED","13,637","12,651",,,"26,288"
"ALVARADO ST","AT","6 th ST","AUTO","SR","April 19, 2011","TUE","16,966","13,089",,,"30,055"
"ALVARADO ST","AT","7 th ST","AUTO","SR","April 20, 2011","WED","15,112","15,498",,,"30,610"
"ALVARADO ST","AT","PICO BL","AUTO","SR","December 12, 2012","WED","14,029","17,137","0","0","31,166"
