"Primary Street","Dir","Cross Street","Type","Dist","Count Date","Day","W/B","E/B","N/B","S/B","Total"
"HATTERAS ST","AT","TAMPA AV","MAN","WV","February 20, 2013","WED","733","548","0","0","1,281"
"HATTERAS ST","AT","TAMPA AV","AUTO","WV","September 07, 2011","WED","2,640","1,234",,,"3,874"
"HATTERAS ST","AT","CORBIN AV","AUTO","WV","April 13, 2011","WED","3,633","4,158",,,"7,791"
"HAUSER BL ","AT","FULLER AV","AUTO","WV","September 07, 2011","WED","42","155",,,"197"
"HAWAIIAN AV","AT","D ST","MAN","HW","January 10, 2013","THU","63","78","0","0","141"
"HAWTHORN AV","AT","SIERRA BONITA AV","AUTO","HW","May 14, 2014","WED","939","415","0","0","1,354"
"HAWTHORN AV","AT","MARTEL AV","AUTO","HW","April 28, 2014","MON","2,268","1,997","0","0","4,265"
"HAYNES ST","AT","WOODLAKE AV","MAN","WV","January 15, 2014","WED","261","745","0","0","1,006"
"HAYVENHURST AV","AT","OTSEGO ST","AUTO","CR","April 05, 2011","TUE",,,,"145","145"
"HAYVENHURST AV","AT","HART ST","MAN","CR","April 06, 2011","WED","228",,,,"228"
"HAYVENHURST AV","AT","KITTRIDGE ST","AUTO","CR","April 05, 2011","TUE",,,,"253","253"
"HAYVENHURST AV","AT","VENTURA BL","AUTO","WR","January 25, 2011","TUE","265","127",,,"392"
"HAYVENHURST AV","S/O","BURBANK BL","AUTO","CR","April 05, 2011","TUE",,,"745",,"745"
"HAYVENHURST AV","S/O","LASSEN ST","AUTO","EV","May 05, 2011","THU","3,673","3,028",,,"6,701"
"HAYVENHURST AV","AT","INDEX ST / 118 FWY E/B ON RAMP","MAN","WV","January 29, 2014","WED","0","0","7,609","12,598","20,207"
"HAZELTINE AV","S/O","SHERMAN WY","AUTO","EV","January 10, 2011","MON",,,"18,054","13,176","31,230"
"HAZELTINE AV","AT","HAMLIN ST","AUTO","EV","May 03, 2011","TUE",,,"19,130","19,704","38,834"
"HENRY FORD AV","S/O","PIER A WY","AUTO","EV","May 03, 2011","TUE",,,"2,681","17,682","20,363"
"HENRY FORD AV","AT","ANAHEIM ST","AUTO","EV","May 04, 2011","WED",,,"13,494","11,943","25,437"
"HENRY FORD AV","N/O","PIER A WY  LT turn only","AUTO","EV","May 04, 2011","WED",,,"20,400","11,590","31,990"
"HENRY FORD AV","N/O","PIER A WY","AUTO","HW","May 03, 2011","TUE",,,"24,682","21,150","45,832"
"HERRICK AV","AT","VAN NUYS BL","AUTO","EV","May 04, 2011","WED",,,"10,204","10,447","20,651"
"HIAWATHA ST","AT","LOUISE ST","MAN","WV","January 14, 2014","TUE","280","0","0","0","280"
"HIGHLAND AV","N/O ","EDGEWOOD PL","AUTO","HW","December 12, 2013","THU","0","0","12,117","10,341","22,458"
"HIGHLAND AV","AT","9 th ST","MAN","HW","October 08, 2013","TUE","0","0","13,583","10,020","23,603"
"HIGHLAND AV","AT","4 th ST","AUTO","EV","May 05, 2011","THU",,,"11,202","14,274","25,476"
"HIGHLAND AV","S/O","9 th ST","AUTO","HW","December 12, 2013","THU","0","0","13,977","12,407","26,384"
"HIGHLAND AV","N/O","OLYMPIC BL","AUTO","HW","December 12, 2013","THU","0","0","14,029","12,696","26,725"
"HIGHLAND AV","S/O","6 th ST","AUTO ","HW","December 17, 2013","TUE","0","0","17,391","18,560","35,951"
"HIGHLAND AV","S/O","3 rd ST","AUTO","HW","December 17, 2013","TUE","0","0","18,542","19,952","38,494"
"HIGHLAND AV","N/O","2 nd ST","AUTO","HW","December 20, 2013","FRI","0","0","20,664","20,786","41,450"
"HIGHLAND AV","AT","2 nd ST","MAN","HW","April 04, 2013","THU","0","0","21,152","20,772","41,924"
"HIGHLAND AV","N/O","WILSHIRE BL","AUTO","HW","December 17, 2013","TUE","0","0","16,965","25,238","42,203"
"HIGHLAND AV","S/O ","MELROSE AV","AUTO","HW","December 20, 2013","FRI","0","0","20,861","22,205","43,066"
"HIGHLAND VIEW AV","AT","COLORADO BL","MAN","CR","June 18, 2013","TUE","0","0","193","155","348"
"HIGHLAND VIEW AV","AT","COLORADO BL","AUTO","CR","June 12, 2013","WED","0","0","868","789","1,657"
"HIGHLANDER RD","AT","VALLEY CIRCLE BL","MAN","WV","October 24, 2013","THU","414","160","0","0","574"
"HILL ST","BTWN","2nd ST AND 3rd ST","AUTO","CR","April 23, 2014","WED","0","0","8,460","11,191","19,651"
"HILL ST","AT","36 th PL","AUTO","EV","May 10, 2011","TUE",,,"13,592","12,568","26,160"
"HILL ST","AT","3 rd ST","AUTO","EV","May 10, 2011","TUE",,,"13,592","12,594","26,186"
"HILL ST","AT","35 th ST","AUTO","EV","May 05, 2011","THU",,,"11,343","20,128","31,471"
"HILLCREST DR","S/O","EXPOSITION BL (SOUTH ROAD)","AUTO","HW","September 10, 2013","TUE","0","0","107","93","200"
"HILLCREST DR","AT","57th ST","AUTO","SR","May 08, 2014","THU","0","0","427","311","738"
"HOBART BL","AT","38 th PL","AUT","SR","April 16, 2013","TUE","0","0","270","548","818"
"HOBART BL","AT","CAMBRIDGE ST","AUTO","EV","May 11, 2011","WED",,,"11,058","16,737","27,795"
"HOLBORO DR","E/O","LOWRY RD","AUTO","HW","July 31, 2013","WED","117","185","0","0","302"
"HOLLOW SPRINGS DR","W/O","TAMPA AV","AUTO","EV","May 11, 2011","WED",,,"12,151","7,840","19,991"
"HOLLWOOD BL","AT","RODNEY DR / LYMAN PL","MAN","HW","May 21, 2013","TUE","8,874","5,934","0","0","14,808"
"HOLLYWOOD BL","AT","MARTEL AV","AUTO","HW","April 28, 2014","MON","17,746","16,737","0","0","34,483"
"HOLLYWOOD BL ","AT","ORANGE DR (E INTER)","MAN","HW","November 29, 2012","THU","9,442","6,448","0","0","15,890"
"HOLLYWOOD BL ","AT","ORANGE DR (WEST INTERSECTION)","AUTO","HW","May 19, 2011","THU",,,"11,467","9,269","20,736"
"HOLLYWOOD BL ","AT","Mc CADDEN PL","AUT","HW","April 10, 2013","WED","15,854","5,254","0","0","21,108"
"HOLLYWOOD BL ","AT","ORANGE DR (W INTER)","MAN","HW","November 28, 2012","WED","13,033","14,591","0","0","27,624"
"HOLLYWOOD BL ","AT","Mc CADDEN PL","AUT","HW","April 09, 2013","TUE","16,717","11,616","0","0","28,333"
"HOLLYWOOD BL ","AT","Mc CADDEN PL","AUT","HW","April 11, 2013","THU","16,710","12,684","0","0","29,394"
"HOLLYWOOD BL ","AT","ORANGE DR (EAST INTERSECTION)","AUTO","EV","May 19, 2011","THU",,,"15,515","14,233","29,748"
"HOLLYWOOD FWY NB ON RAMP","AT","CAHUENGA BL E   1-WAY","AUTO","EV","May 19, 2011","THU",,,"12,658","12,339","24,997"
"HOLMES AV","AT","CENTURY BL","AUTO","EV","May 24, 2011","TUE",,,"14,867","13,701","28,568"
"HOOPER AV","AT","53 rd ST","AUTO","EV","May 25, 2011","WED",,,"14,150","4,316","18,466"
"HOOPER AV","AT","VERNON AV","AUTO","EV","May 25, 2011","WED",,,"12,942","12,474","25,416"
"HOOPER AV","AT","20 th ST","AUTO","EV","May 25, 2011","WED",,,"14,338","12,801","27,139"
"HOOPER AV","AT","48 th ST","AUTO","EV","May 24, 2011","TUE",,,"13,792","13,422","27,214"
"HOOPER AV","AT","41 st ST","AUTO","EV","May 24, 2011","TUE",,,"15,041","13,148","28,189"
"HOOPER AV","AT","WASHINGTON BL","AUTO","EV","May 25, 2011","WED",,,"13,896","14,907","28,803"
"HOOVER ST","AT","88 th ST","AUTO","EV","May 31, 2011","TUE",,,"6,488","7,930","14,418"
"HOOVER ST","N/O","TEMPLE ST","AUTO","EV","May 26, 2011","THU",,,"11,629","6,736","18,365"
"HOOVER ST","AT","LAKE ST","AUTO","EV","May 26, 2011","THU",,,"12,149","10,715","22,864"
"HOOVER ST","N/O","VERNON AV","AUTO","EV","May 31, 2011","TUE",,,"12,374","11,310","23,684"
"HOOVER ST","AT","LAKE ST","AUTO","EV","May 26, 2011","THU",,,"13,538","11,441","24,979"
"HOOVER ST","N/O","87 th ST","AUTO","EV","May 25, 2011","WED",,,"14,189","11,382","25,571"
"HOOVER ST","AT","MONROE ST","AUTO","EV","May 25, 2011","WED",,,"13,461","12,933","26,394"
"HOOVER ST","AT","LACONIA AV","AUTO","EV","July 12, 2011","TUE",,,"14,138","12,764","26,902"
"HOOVER ST","AT","SANTA MONICA BL","AUTO","EV","May 26, 2011","THU",,,"13,650","13,565","27,215"
"HOOVER ST ","AT","LEXINGTON AV","AUTO","HW","August 29, 2013","THU","0","0","449","716","1,165"
"HOOVER ST ","AT","LACONIA BL","AUTO","SR","March 15, 2013","FRI","0","0","1,074","669","1,743"
"HOOVER ST ","AT","ATHENS BL","AUT","SR","March 28, 2013","THU","0","0","910","1,059","1,969"
"HOOVER ST ","AT","41 st DR","AUTO","CR","May 16, 2013","THU","0","0","5,927","4,105","10,032"
"HOOVER ST ","AT","41 st DR","AUTO","CR","May 15, 2013","WED","0","0","6,212","4,213","10,425"
"HOOVER ST ","AT","41 st DR","AUTO","CR","May 14, 2013","TUE","0","0","6,498","4,112","10,610"
"HOOVER ST ","AT","HYPERION AV","AUTO","HW","March 24, 2014","MON","0","0","5,942","5,315","11,257"
"HOOVER ST ","S/O ","VERNON AV","AUTO","CR","May 29, 2013","WED","0","0","7,941","5,643","13,584"
"HOOVER ST ","S/O","VERNON AV","AUTO","CR","May 29, 2013","WED","0","0","7,941","5,643","13,584"
"HOOVER ST ","AT","GAGE AV","AUTO","SR","May 29, 2013","WED","0","0","7,385","6,736","14,121"
"HOOVER ST ","AT","GAGE AV","AUTO","SR","May 29, 2013","WED","0","0","7,385","6,736","14,121"
"HOOVER ST ","AT","FLORENCE AV","AUTO","SR","May 29, 2013","WED","0","0","8,198","6,288","14,486"
"HOOVER ST ","AT","FLORENCE AV","AUTO","SR","May 29, 2013","WED","0","0","8,198","6,288","14,486"
"HOOVER ST ","N/O","MANCHESTER AV","AUTO","SR","May 29, 2013","WED","0","0","6,676","8,441","15,117"
"HOOVER ST ","N/O","MANCHESTER AV","AUTO","SR","May 29, 2013","WED","0","0","6,676","8,441","15,117"
"HOOVER ST ","AT","SLAUSON AV","MAN","CR","May 29, 2013","WED","0","0","10,053","10,681","20,734"
"HOOVER ST ","AT","LEXINGTON AV","MAN","HW","October 10, 2013","THU","0","0","275","338","613"
"HORTENSE ST","AT","VAN NUYS BL","MAN","EV","August 02, 2011","TUE",,,"9,785","10,204","19,989"
"HUDSON AV","AT","ROMAINE ST","AUTO","HW","May 01, 2014","THU","0","0","534","753","1,287"
"HUMBOLDT ST","AT","AVENUE 26","MAN","EV","September 01, 2011","THU",,,"10,168","15,557","25,725"
"HUSTON ST","AT","COLFAX AV","MAN","EV","May 15, 2014","THU","118","658","0","0","776"
"HUSTON ST","AT","VAN NUYS BL","AUTO","EV","May 26, 2011","THU",,,"14,171","22,427","36,598"
"HYATT AV","AT","DENNI ST","AUTO","SR","May 14, 2014","WED","0","0","512","310","822"
"HYDE PARK BL","AT","WEST BL","AUTO","EV","May 11, 2011","WED",,,"10,845","11,875","22,720"
"HYDE PARK BL","AT","WEST BL","AUTO","EV","May 12, 2011","THU",,,"14,185","11,796","25,981"
"HYPERION AV","AT","SCOTLAND ST","AUTO","EV","May 12, 2011","THU",,,"11,370","10,784","22,154"
"HYPERION AV","AT","WAVERLY DR","AUTO","HW","October 07, 2013","MON","0","0","14,047","14,613","28,660"
"HYPERION AV ","E/O","HOOVER ST","AUTO","HW","March 24, 2014","MON","1,218","1,716","0","0","2,934"
"IMPERIAL HWY","AT","AVIATION BL","AUTO","SR","June 10, 2011","FRI","1,482","1,032",,,"2,514"
"IMPERIAL HWY ","AT","WADSWORTH AV","AUTO","SR","September 12, 2013","THU","12,123","13,911","0","0","26,034"
"IMPERIAL HWY ","E/O","SAN PEDRO ST","AUTO","SR","September 12, 2013","THU","12,103","14,112","0","0","26,215"
"IMPERIAL HWY ","AT","STANFORD AV","AUTO","SR","September 12, 2013","THU","12,776","13,880","0","0","26,656"
"IMPERIAL HWY ","AT","PARMELEE AV","AUTO","SR","September 11, 2013","WED","13,496","13,568","0","0","27,064"
"IMPERIAL HWY ","AT","CENTRAL AV","AUTO","SR","September 12, 2013","THU","14,119","14,090","0","0","28,209"
"IMPERIAL HWY ","AT","COMPTON AV","AUTO","SR","September 11, 2013","WED","14,663","13,745","0","0","28,408"
"IMPERIAL HWY ","AT","CROESUS AV","AUTO","SR","September 11, 2013","WED","20,501","22,675","0","0","42,176"
"INDEX ST","AT","HASKELL AV","MAN","WV","August 15, 2013","THU","1,424","717","0","0","2,141"
"INDEX ST / 118 FWY E/B ON RAMP","AT","HAYVENHURST AV","MAN","WV","January 29, 2014","WED","0","357","0","0","357"
"INGLEWOOD BL","N/O","JEFFERSON BL","AUT","WR","April 25, 2013","THU","0","0","6,853","6,375","13,228"
"INGLEWOOD BL","AT","BRADDOCK DR","AUT","WR","April 25, 2013","THU","0","0","8,717","7,186","15,903"
"INGLEWOOD BL ","AT","CULVER BL","AUT","WR","April 25, 2013","THU","0","0","9,952","8,760","18,712"
"ISLAND AV","AT","R ST","AUTO","SR","January 13, 2014","MON","0","0","710","527","1,237"
"ISLAND AV","AT","SANDISON ST","AUTO","SR","January 13, 2014","MON","0","0","1,185","817","2,002"
"JAMES M WOOD BL","AT","ALBANY ST","MAN","HW","January 09, 2013","WED","0","0","1,673","228","1,901"
"JAMES M WOOD BL","AT","VALENCIA ST","AUTO","WV","July 13, 2011","WED","1,262","782",,,"2,044"
"JAMES M WOOD BL","AT","ALBANY ST","MAN","CR","January 23, 2013","WED","2,352","2,719","0","0","5,071"
"JAMES M WOOD BL","AT","NEW HAMPSHIRE AV","MAN","HW","June 26, 2013","WED","2,952","2,764","0","0","5,716"
"JAMES M WOOD BL","AT","VALENCIA ST","AUTO","WV","July 13, 2011","WED","10,691","10,227",,,"20,918"
"JAMES M WOOD BL","AT","ALBANY ST","AUTO","EV","January 06, 2011","THU",,,"13,286","18,395","31,681"
"JEFFERSON BL","AT","WADSWORTH AV","AUTO","CR","April 03, 2014","THU","3,412","5,229","0","0","8,641"
"JEFFERSON BL","AT","SAN PEDRO ST","AUTO","EV","January 19, 2011","WED",,,"17,668","18,088","35,756"
"JEFFERSON BL. ","AT","ROYAL ST.","AUTO","EV","March 31, 2011","THU",,,"18,122","18,476","36,598"
"JENSEN DR","AT","VALLEY CIRCLE BL","MAN","WV","February 27, 2014","THU","165","0","0","0","165"
"JUNE ST","AT","FOUNTAIN AV","AUTO","HW","May 05, 2014","MON","0","0","779","399","1,178"
"KANSAS AV","AT","FLORENCE AV","MAN","EV","April 07, 2011","THU",,,"18,072","17,959","36,030"
"KENISTON AV","AT","OLYMPIC BL","MAN","HW","October 15, 2013","TUE","0","0","338","204","542"
"KENISTON AV","AT","DOCKWEILER ST","AUTO","EV","January 22, 2013","TUE","0","0","17,883","18,937","36,820"
"KENISTON ST","AT","9 th ST","MAN","HW","August 14, 2013","WED","0","0","284","188","472"
"KENMORE AV","AT","PICO BL","MAN","CR","April 09, 2013","TUE","0","0","472","296","768"
"KENMORE AV","AT","PICO BL ( NORTH LEG)","AUT","CR","April 10, 2013","WED","0","0","1,019","902","1,921"
"KENMORE AV","AT ","PICO BL ( NORTH LEG)","AUT","CR","April 09, 2013","TUE","0","0","1,095","875","1,970"
"KENMORE AV","AT","PICO BL ( NORTH LEG)","AUT","CR","April 11, 2013","THU","0","0","1,197","885","2,082"
"KESTER AV","S/O","SHERMAN WY","MAN","CR","October 12, 2011","WED",,,"230","113","343"
"KESWICK ST","AT","VAN NUYS BL","AUTO","CR","June 01, 2011","WED",,,"2,713","2,951","5,664"
"LANKERSHIM BL","AT","TUXFORD ST","MAN","WR","January 11, 2011","TUE",,,"6,138","6,340","12,479"
"KING AV","AT","HARRY BRIDGES BL turning only","MAN","WV","January 14, 2011","FRI",,,"10,389","14,495","24,884"
"KINGSLEY DR","AT","SANTA MONICA BL","AUTO","HW","May 07, 2014","WED","0","0","1,474","1,615","2,789"
"KITTRIDGE ST","W/O","RESEDA BL","AUTO","EV","January 22, 2013","TUE","0","0","1,389","2,061","3,450"
"KITTRIDGE ST","AT","VAN NUYS BL","AUTO","WV","April 07, 2011","THU",,,"1,796","2,344","4,140"
"KITTRIDGE ST","E/O","RESEDA BL","AUTO","WV","April 20, 2011","WED",,,"13,422","10,534","23,956"
"KNOX AV","AT","BLAKE AV","MAN","HW","January 10, 2013","THU","63","76","0","0","139"
"KNOX AV","AT","BLAKE AV","MAN","CR","December 12, 2012","WED","2,999","3,104",,,"6,103"
"L ST","W/O","MC FARLAND AV","MAN","SR","August 07, 2013","WED","2,139","1,929","0","0","4,068"
"LA BREA AV","AT","DE LONGPRE AV","MAN","HW","April 10, 2013","WED","0","0","12,455","18,701","31,156"
"LA BREA AV","AT","DE LONGPRE AV","AUT","HW","April 09, 2013","TUE","0","0","19,170","18,871","38,041"
"LA BREA AV","AT","DE LONGPRE AV","AUT","HW","April 10, 2013","WED","0","0","18,628","19,548","38,176"
"LA BREA AV","AT","DE LONGPRE AV","AUT","HW","April 11, 2013","THU","0","0","19,165","20,224","39,389"
"LA BREA AV","AT","SYCAMORE AV","MAN","HW","May 08, 2013","WED","0","0","29,845","21,965","51,810"
"LA CIENEGA BL","AT","PICO BL","AUT","CR","April 18, 2013","THU","0","0","34,648","26,268","60,916"
"LA CLEDE AV","AT","TYBURN ST","MAN","HW","June 12, 2013","WED","606","1,123","0","0","1,729"
"LA JOLLA AV","AT","3 rd ST","MAN","CR","December 06, 2012","WED",,,"6,606","3,960","10,566"
"LABRADOR ST","AT","WILBUR AV","MAN","WV","November 20, 2013","WED","0","710","0","0","710"
"LACONIA AV","AT","HOOVER ST","MAN","HW","November 01, 2011","TUE","41,985","34,131",,,"76,117"
"LACONIA BL","AT","HOOVER ST","AUTO","SR","March 15, 2013","FRI","141","537","0","0","678"
"LAGUNA AV ","AT","ECHO PARK AV","MAN","CR","June 27, 2013","THU","421","0","0","0","421"
"LAGUNA AV ","AT","ECHO PARK AV","MAN","CR","April 23, 2013","TUE","472","0","0","0","472"
"LAGUNA AV ","AT","ECHO PARK AV","MIO","CR","November 23, 2013","SAT","794","0","0","0","794"
"LAGUNA AV ","AT","ECHO PARK AV","MIO","CR","November 24, 2013","SUN","794","0","0","0","794"
"LAGUNA AV ","AT","ECHO PARK AV","AUTO","HW","February 19, 2014","WED","396","505","0","0","901"
"LAKE HOLLYWOOD ","AT","TAHOE DR/HOLLYWOOD RESERVOIR","AUTO","HW","September 02, 2013","MON","185","229","0","0","414"
"LAKE HOLLYWOOD ","AT","TAHOE DR/HOLLYWOOD RESERVOIR","AUTO","HW","September 01, 2013","SUN","176","239","0","0","415"
"LAKE HOLLYWOOD ","AT","TAHOE DR/HOLLYWOOD RESERVOIR","AUTO","HW","August 31, 2013","SAT","304","289","0","0","593"
"LAKE ST","AT","HOOVER ST","MAN","CR","December 12, 2012","WED",,,"26","2,193","2,219"
"LAKE ST   SB   left only","AT","HOOVER ST ","AUTO","HW","January 10, 2013","THU","0","0","791","830","1,621"
"LAKE ST  NB","AT","HOOVER ST","MAN","EV","March 08, 2011","TUE",,,"7,732","12,081","19,813"
"LAKE ST  SB   right only","AT","HOOVER ST ","AUTO","EV","January 10, 2011","TUE","13,697","13,801",,,"27,498"
"LAKE WOOD AV","AT","ANGUS ST","AUTO","HW","October 03, 2013","THU","0","0","802","1,265","2,067"
"LAKESHORE AV","AT","SCOTT AV","AUTO","HW","April 22, 2014","TUE","0","0","903","431","1,334"
"LAKEWOOD AV / GLENDALE BL","AT","GLENDALE BL / ROWENA AV","MAN","HW","September 11, 2013","WED","6,406","1,217","0","0","7,623"
"LAKME AV","AT","DENNI ST","AUTO","SR","June 12, 2013","WED","0","0","690","623","1,313"
"LAMANDA ST","W/O","INGLEWOOD BL","AUTO","EV","March 16, 2011","WED","11,954","13,890",,,"25,844"
"LANARK ST","AT","WINNETKA AV","MAN","WV","June 03, 2013","MON","407","263","0","0","670"
"LANARK ST","AT","WINNETKA AV","AUTO","WV","May 29, 2013","TUE","545","703","0","0","1,248"
"LANARK ST","AT","VAN NUYS BL","AUTO","EV","April 26, 2011","TUE","12,073","10,871",,,"22,944"
"LANKERSHIM BL","AT","CAYUGA AV","AUTO","SR","July 11, 2011","MON",,,"839","674","1,513"
"LANKERSHIM BL","AT","BURBANK BL","AUTO","EV","April 29, 2011","FRI","7,536","1,902",,,"9,438"
"LANKERSHIM BL","AT","VANOWEN ST","MAN","WR","January 05, 2011","WED",,,"7,353","6,820","14,173"
"LANKERSHIM BL","AT","ERWIN ST","AUTO","EV","December 07, 2011","WED","253","16,061",,,"16,314"
"LANKERSHIM BL","AT","COHASSET ST","AUTO","CR","January 12, 2011","WED",,,"9,977","8,011","17,988"
"LANKERSHIM BL","AT","CAMPO DE CAHUENGA","AUTO","EV","April 26, 2011","FRI","9,801","8,332",,,"18,133"
"LANKERSHIM BL","AT","MAGNOLIA BL","AUTO","CR","July 19, 2011","TUE",,,"10,496","8,201","18,697"
"LANKERSHIM BL","AT","KITTRIDGE ST","AUTO","EV","December 08, 2011","THU","10,784","9,394",,,"20,178"
"LANKERSHIM BL","AT","VINELAND BL","AUTO","EV","April 28, 2011","THU","10,217","10,043",,,"20,260"
"LANKERSHIM BL","AT","RIVERSIDE DR","AUTO","EV","April 28, 2011","THU","10,192","10,093",,,"20,285"
"LANKERSHIM BL","AT","MAGNOLIA BL","AUTO","EV","April 28, 2011","THU","10,475","10,134",,,"20,609"
"LANKERSHIM BL","AT","WHIPPLE ST","AUTO","EV","April 27, 2011","WED","10,633","10,043",,,"20,676"
"LANKERSHIM BL","AT","OXNARD ST","AUTO","EV","December 19, 2011","MON","9,497","11,754",,,"21,251"
"LANKERSHIM BL","AT","STAGG ST","AUTO","EV","December 20, 2011","TUE","11,633","9,821",,,"21,454"
"LANKERSHIM BL","AT","HORTENSE ST  north leg","AUTO","EV","April 27, 2011","WED","11,299","10,228",,,"21,527"
"LANKERSHIM BL","AT","MOORPARK ST","AUTO","EV","April 27, 2011","WED","12,077","9,722",,,"21,799"
"LANKERSHIM BL","AT","CAMARILLO ST","AUTO","EV","April 28, 2011","THU","12,592","9,963",,,"22,555"
"LANKERSHIM BL","AT","VALERIO ST","AUTO","EV","November 29, 2011","TUE","13,099","9,493",,,"22,592"
"LANKERSHIM BL","AT","HATTERAS ST","AUTO","EV","April 29, 2011","FRI","11,465","11,300",,,"22,765"
"LANKERSHIM BL","AT","WEDDINGTON ST","AUTO","EV","April 29, 2011","FRI","9,553","14,964",,,"24,517"
"LANKERSHIM BL","AT","STRATHERN ST","AUTO","CR","January 04, 2011","TUE",,,"14,741","10,026","24,767"
"LANKERSHIM BL","AT","COHASSET ST","AUTO","EV","December 06, 2011","TUE","12,390","12,417",,,"24,807"
"LANKERSHIM BL","AT","CUMPSTON ST","AUTO","EV","April 29, 2011","FRI","13,938","11,473",,,"25,411"
"LANKERSHIM BL","AT","ARMINITA ST","AUTO","EV","December 05, 2012","TUE","10,559","15,260","0","0","25,819"
"LANKERSHIM BL","AT","CAHUENGA BL   ","AUTO","EV","April 27, 2011","WED","15,367","10,589",,,"25,956"
"LANKERSHIM BL","AT","BLUFFSIDE DR","AUTO","EV","April 26, 2011","TUE","13,148","13,369",,,"26,517"
"LANKERSHIM BL","AT","SHERMAN WY","MAN","EV","September 01, 2011","THU","14,608","12,862",,,"27,469"
"LANKERSHIM BL","S/O","SHERMAN WY","AUTO","EV","April 26, 2011","TUE","14,231","13,691",,,"27,922"
"LANKERSHIM BL","AT","HART ST","AUTO","EV","May 11, 2011","WED","14,811","14,354",,,"29,165"
"LANKERSHIM BL","AT","VENTURA BL / CAHUENGA BL W","AUTO","EV","April 26, 2011","TUE","19,027","10,458",,,"29,485"
"LANKERSHIM BL","AT","SATICOY ST","AUTO","EV","December 19, 2011","MON","20,894","12,835",,,"33,729"
"LANKERSHIM BL ","AT","VICTORY BL","AUTO","CR","July 19, 2011","TUE",,,"10,540","7,352","17,892"
"LANKERSHIM BL  North I/S","AT","CHANDLER BL","AUTO","CR","July 20, 2011","WED",,,"10,154","8,136","18,290"
"LANKERSHIM BL  north jog","AT","HESBY ST","AUTO","CR","July 20, 2011","WED",,,"7,221","4,982","12,203"
"LANKERSHIM BL South I/S","AT","CHANDLER BL","AUTO","CR","July 20, 2011","WED",,,"3,067","7,696","10,763"
"LANZIT AV","W/O","CENTRAL AV","AUTO","CR","July 21, 2011","THU",,,"8,067","8,081","16,148"
"LAS PALMAS AV","AT","FRANKLIN AV","MAN","HW","January 09, 2013","WED","0","0","1,673","228","1,901"
"LAS PALMAS AV","AT","FRANKLIN AV","AUTO","HW","December 02, 2013","MON","0","0","3,174","659","3,833"
"LAS PALMAS AV","AT","FRANKLIN AV","AUTO","CR","July 21, 2011","THU",,,"7,986","8,281","16,267"
"LASSEN ST","E/O","TOPANGA CANYON BL","AUTO","WV","July 23, 2013","TUE","6,946","6,398","0","0","13,344"
"LASSEN ST","AT","RESEDA BL","AUTO","CR","July 21, 2011","THU",,,"7,320","7,760","15,080"
"LASSEN ST","E/O","VALLEY CIRCLE BL","AUTO","CR","July 22, 2011","FRI",,,"7,990","8,692","16,682"
"LAUREL CANYON BL","N/O","MULHOLLAND DR","AUTO","SR","July 25, 2011","MON",,,"5,442","5,243","10,685"
"LAUREL CANYON BL","N/O","MULHOLLAND DR","AUTO","CR","July 22, 2011","FRI",,,"6,967","5,802","12,769"
"LAUREL CANYON BL","S/O","SHERMAN WY","AUTO","CR","July 22, 2011","FRI",,,"7,244","5,762","13,006"
"LAUREL CANYON BL","AT","VAN NUYS BL","AUTO","CR","July 25, 2011","MON",,,"6,559","6,624","13,183"
"LAUREL CANYON BL","AT","VAN NUYS BL","AUTO","CR","July 22, 2011","FRI",,,"8,220","6,256","14,476"
"LAUREL CANYON BL","AT","VICTORY BL","MAN","EV","July 03, 2013","WED","0","0","8,486","12,039","20,525"
"LAUREL CANYON BL","AT","ERWIN ST","MAN","EV","July 23, 2013","TUE","0","0","9,745","11,094","20,839"
"LAUREL CANYON BL","AT","SYLVAN ST","MAN","EV","June 25, 2013","TUE","0","0","9,402","13,752","23,154"
"LAUREL CANYON BL","AT","HAMLIN ST","MAN","EV","August 21, 2013","WED","0","0","12,044","12,192","24,236"
"LAVETA TER","AT","TEMPLE ST","AUTO","CR","July 26, 2011","TUE",,,"6,673","6,637","13,310"
"LE GRANDE TER","AT","15 th ST","AUTO","SR","June 13, 2013","THU","0","0","217","168","385"
"LEDGEWOOD DR","N/O","BEACHWOOD DR","AUTO","HW","September 02, 2013","MON","0","0","795","617","1,412"
"LEDGEWOOD DR","N/O","BEACHWOOD DR","AUTO","HW","September 01, 2013","SUN","0","0","877","633","1,510"
"LEDGEWOOD DR","N/O","BEACHWOOD DR","AUTO","HW","August 31, 2013","SAT","0","0","944","741","1,685"
"LELAND AV","AT","26th ST","AUTO","SR","May 15, 2014","THU","0","0","310","652","962"
"LELAND AV","AT","27th ST","AUTO","SR","May 15, 2014","THU","0","0","793","477","1,270"
"LELAND ST","AT","9 th ST","AUTO","SR","July 18, 2013","THU","0","0","1,694","425","2,119"
"LELEAND ST","AT","9 th ST","MAN","SR","August 29, 2013","THU","0","0","2,153","585","2,738"
"LEMARSH ST","AT ","RESEDA BL","MAN","WV","November 06, 2013","WED","961","0","0","0","961"
"LEXINGTON AV","AT","HOOVER ST","MAN","HW","October 10, 2013","THU","588","682","0","0","1,270"
"LEXINGTON AV","AT","HOOVER ST","AUTO","HW","August 29, 2013","THU","780","1,277","0","0","2,057"
"LEXINGTON AV","AT","WILCOX AV","MAN","HW","February 21, 2013","THU","1,048","2,068","0","0","3,116"
